CUI1|CUI2
C0004623|C0007550
C0004623|C0007552
C0004623|C0007554
C0004623|C0007555
C0004623|C0007556
C0004623|C0007557
C0004623|C0007559
C0004623|C0007560
C0004623|C0007561
C0004623|C0007562
C0004623|C0007716
C0004623|C0007738
C0004623|C0008168
C0004623|C0008809
C0004623|C0008947
C0004623|C0009315
C0004623|C0011276
C0004623|C0012093
C0004623|C0014806
C0004623|C0014809
C0004623|C0014810
C0004623|C0016267
C0004623|C0017449
C0004623|C0020933
C0004623|C0021741
C0004623|C0022419
C0004623|C0022487
C0004623|C0024452
C0004623|C0024453
C0004623|C0025872
C0004623|C0026651
C0004623|C0027324
C0004623|C0027444
C0004623|C0027519
C0004623|C0027603
C0004623|C0027607
C0004623|C0027780
C0004623|C0028156
C0004623|C0028365
C0004623|C0028902
C0004623|C0028923
C0004623|C0029983
C0004623|C0030092
C0004623|C0030827
C0004623|C0030829
C0004623|C0030830
C0004623|C0030840
C0004623|C0031955
C0004623|C0032032
C0004623|C0032535
C0004623|C0035608
C0004623|C0035609
C0004623|C0037134
C0004623|C0037531
C0004623|C0037536
C0004623|C0037540
C0004623|C0038666
C0004623|C0038670
C0004623|C0038675
C0004623|C0038689
C0004623|C0038745
C0004623|C0038746
C0004623|C0039266
C0004623|C0039644
C0004623|C0040193
C0004623|C0040263
C0004623|C0040341
C0004623|C0041041
C0004623|C0042313
C0004623|C0052772
C0004623|C0052796
C0004623|C0053155
C0004623|C0053230
C0004623|C0053882
C0004623|C0055003
C0004623|C0055004
C0004623|C0055007
C0004623|C0055008
C0004623|C0055014
C0004623|C0055015
C0004623|C0055337
C0004623|C0055856
C0004623|C0055881
C0004623|C0055923
C0004623|C0057144
C0004623|C0059561
C0004623|C0059562
C0004623|C0059566
C0004623|C0060400
C0004623|C0060405
C0004623|C0062587
C0004623|C0062986
C0004623|C0064165
C0004623|C0065023
C0004623|C0065295
C0004623|C0066005
C0004623|C0066082
C0004623|C0070557
C0004623|C0073374
C0004623|C0073987
C0004623|C0076079
C0004623|C0081437
C0004623|C0081959
C0004623|C0085259
C0004623|C0085884
C0004623|C0108950
C0004623|C0109354
C0004623|C0110462
C0004623|C0142817
C0004623|C0205992
C0004623|C0205996
C0004623|C0245519
C0004623|C0282052
C0004623|C0282104
C0004623|C0282105
C0004623|C0282125
C0004623|C0282239
C0004623|C0282277
C0004623|C0282356
C0004623|C0282386
C0004623|C0282391
C0004623|C0287573
C0004623|C0304311
C0004623|C0304925
C0004623|C0350817
C0004623|C0389169
C0004623|C0520529
C0004623|C0521899
C0004623|C0521900
C0004623|C0521901
C0004623|C0521925
C0004623|C0533545
C0004623|C0536495
C0004623|C0546866
C0004623|C0546879
C0004623|C0546880
C0004623|C0663241
C0004623|C0700443
C0004623|C0700445
C0004623|C0700446
C0004623|C0700462
C0004623|C0700463
C0004623|C0700470
C0004623|C0700471
C0004623|C0700526
C0004623|C0700527
C0004623|C0700540
C0004623|C0700550
C0004623|C0700553
C0004623|C0701436
C0004623|C0701852
C0004623|C0701889
C0004623|C0719220
C0004623|C0724641
C0004623|C0724713
C0004623|C0733367
C0004623|C0753645
C0004623|C0754517
C0004623|C0756081
C0004623|C0756085
C0004623|C0770666
C0004623|C0770900
C0004623|C0771010
C0004623|C0771027
C0004623|C0771284
C0004623|C0771339
C0004623|C0771340
C0004623|C0771341
C0004623|C0771454
C0004623|C0771754
C0004623|C0771798
C0004623|C0772098
C0004623|C0795582
C0004623|C0813197
C0004623|C0813202
C0004623|C0873024
C0004623|C0887422
C0004623|C0894727
C0004623|C0907410
C0004623|C0919352
C0004623|C0982292
C0004623|C1120106
C0004623|C1144403
C0004623|C1172636
C0004623|C1260298
C0004623|C1321744
C0004623|C1453642
C0004623|C1533643
C0004623|C1579348
C0004623|C1579349
C0004623|C1703334
C0004623|C1869686
C0004623|C2001521
C0004623|C2266930
C0004623|C2266931
C0004623|C2266932
C0004623|C2266935
C0004623|C2266956
C0004623|C2266958
C0004623|C2266959
C0004623|C2266960
C0004623|C2266962
C0004623|C2266963
C0004623|C2266964
C0004623|C2266966
C0004623|C2266967
C0004623|C2266969
C0004623|C2266970
C0004623|C2266971
C0004623|C2266972
C0004623|C2266976
C0004623|C2266978
C0004623|C2266982
C0004623|C2351042
C0004623|C2699141
C0004623|C2730005
C0004623|C2744850
C0004623|C2828290
C0004623|C2917325
C0004623|C2917353
C0004623|C2917386
C0004623|C2917393
C0004623|C2917406
C0004623|C2917419
C0004623|C2930762
C0004623|C2983838
C0004623|C3256616
C0004623|C3273776
C0004623|C3536841
C0004623|C3536907
C0004623|C3536998
C0004623|C3537186
C0004623|C3852726
C0004623|C3854019
C0004623|C3856229
C0004623|C3872026
C0004623|C3883355
C0004623|C4306797
C0004623|C4490163
C0004623|C4511278
C0004623|C4519317
C0004623|C4548369
C0004623|C4703827
C0004623|C5221242
C0004626|C0007537
C0004626|C0007541
C0004626|C0007546
C0004626|C0007552
C0004626|C0007554
